ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YPR104C	FHL1   TRANSCRIPTION       TRANSCRIPTIONAL ACTIVATOR 	-1.06	-1.06	-1.06	-0.29	-0.42	0.01		-0.07	-0.34	-0.56	-0.45	-0.43	-0.3	-0.03	0.01		0.12	-0.15	-0.17	-0.14	-0.47	-0.54	-0.09	-0.03	-0.14	-0.01	-0.27	-0.04	-0.32	-0.2	-0.4	-0.62	0.18	0.12	0.33	0.19	0.25	-0.17	-0.12	-0.29	0.12	0.45	-0.14	-0.81	-0.06	-0.4	-0.36	-0.43	0.82	0.91	1.15	0.99	1.01	-0.4		-0.22	0.82	0.9	-0.58	-0.62	-0.27	0.75	0.07	0.44	-0.34	-0.6	-0.71	-0.25	-0.3	0.74	0.77	1.01	-0.04	-0.01	-0.1	-0.25	-0.17	-0.56	-1.03
YER164W	CHD1   TRANSCRIPTION       CHROMODOMAIN-HELICASE-DNA-BINDING (CHD) FAMILY	-0.18	-0.12	-0.22	0.03	-0.09	0.16	-0.03	0.15	0.29	-0.29	0.48	-0.12	-0.15	-0.25	0.33	0.6	-0.29	-0.23	0.04	-0.07	-0.06	0.29	-0.12	0.07	0.24	-0.03	-0.06	0.14	-0.15	-0.07	-0.18	0.06	-0.04	-0.15	0.46	-0.47	-0.71	-0.32	-0.25	0.14	0.3	-0.94	-0.56	-0.1	-1.29	-0.27	-0.89	-0.1	0.48	0.33	1.16	0.99	0.83	0.04	0.52	0.36	0.25	-0.04	0.24	-0.27	-0.32	0.73	-0.07	0.93	-0.49	-0.36	-0.64	-0.76	0.4	0.28	0.82	0.98	-0.03	-0.07	-0.2	-0.51	-0.62	-0.56	-0.42
YDR362C	TFC6   TRANSCRIPTION       TFIIIC 91 KD SUBUNIT	-0.36	-0.79	-0.29	-0.42	-0.22	-0.69	-0.34	-0.42	-0.23	-0.15	-0.25	-0.09	-0.09	-0.56	-0.07	-0.27	-0.22	-0.42	-0.15	-0.01	-0.14	0.24	-0.2	-0.3	-0.07	0.3	0.06	0.23	-0.25	0.08	-0.67	0.23	-0.32	-0.07	0.36	-0.32	-0.69	-0.43	-0.56	0.07	0.57	-0.23	-0.38	0.61	-0.34	-0.51	-0.54	-0.01	0.2	0.48	1.31	1.16	0.97	-0.71	0.54	0.41	0.7	0.86	-0.2	-0.17	0.15	0.45	0.31	0.44	-0.12	-0.42	-0.18	-0.15	0.5	0.71	-0.09	0.5	-0.32	-0.25	0.39	-0.03	-0.22	0.43	0.25
YBL021C	HAP3   TRANSCRIPTION       COMPONENT OF HETEROTRIMERIC CCAAT-BINDING FACTOR	-0.64	-0.58	-0.36	-0.89	-0.79	-0.01	-0.15	0.15	-0.34	0.04	-0.76	-0.06	-0.17	-0.36	-0.97	0.16	-0.43	0.03	-0.58	-0.18	-0.18	-0.01	0.03	-0.06	0.16	0.18		0.03	-0.01	0.07	-0.42	0.32	-0.03	0.36	-0.14	-0.09	0.04	-0.43	-0.25	0.7	1.25		-0.49	-0.12	-1	-0.51	-1.32	0.37	0.58	0.37	1.5	1.54	1.43	-0.49	0.82	0.33	0.65	1.29	0.31	-0.15	0.21	0.44	0.01	0.36	0.3	0.24	-0.01	-0.29	-0.36	0.01	-0.18	0.31	-0.29	0.24	0.12	-0.14	-0.36	-0.15	-0.09
YNL216W	RAP1   TRANSCRIPTION       TRANSCRIPTIONAL REPRESSOR AND ACTIVATOR	-0.84	-0.58	-0.67	-0.56	0.11	-0.17	0.15	-0.17	-0.22	-0.23	-0.23	-0.42	-0.2	-0.36	0.08	0.07	-0.09	0.53	-0.43	-0.58	-0.71	-0.42	-0.14	-0.22	-0.14	0.2	0.31	0.6	-0.43	0.18		-0.1	-0.45	-0.18	0.07	0.11	-0.04	-0.6	-0.45	-0.09	-0.32	-0.04	-0.12	-0.49	-0.62	-0.58	-0.4	-0.47	1.13	1.47	1.49	1.23	1.1	-0.54	-0.1	-0.18	2.14	1.54	-0.2	-0.62	-0.1	0.16	-0.14	0.03	-0.86	-0.71	-0.29	-0.45	0.29	-0.12	0.29	-0.43	-0.29	-0.27	-0.51	-0.81	-0.71	-2.12	-1.03
YHR119W	SET1   TRANSCRIPTION       TRITHORAX PROTEIN FAMILY	-0.71	-0.62	-0.69	-0.38	-0.49	-0.18	-0.45		-0.23	0.19	-0.25	-0.15	-0.04	-0.43	-0.51	-0.09	-0.62	-0.29	-0.54	-0.27	-0.06	-0.15	0.1	0.08	0.1	0.3	0.07	0.34	0.11	0.31	-0.22	0.01	-0.56	-0.3	-0.18	0.06	-0.1	-0.1	-0.4	-0.34	0.2	0.15	-0.12	0.38	-0.29	-0.49	-0.64	-0.04	0.87	1.34	1.9	1.31	1.78	-0.64	0.18	-0.36	1.48	1.42	-0.03	-0.25	0.2	0.01	0.25	0.34	-0.18	-0.49	-0.47	-0.56	-0.3	0.04	-0.27	0.08	-0.03	-0.22	0.69	-0.12	-0.29	-0.36	-0.58
YDR189W	SLY1   SECRETION        SNARE DOCKING COMPLEX SUBUNIT	-0.3	-0.42	-0.07	0.12	0.08	-0.07	-0.3	-0.2	0.04	-0.15	0.29	0.15	0.12	0.06	0.14	0.3	-0.32	0.06	0.01	-0.14	-0.3	-0.09	-0.47	-0.06	-0.01	0.08	0.21	0.44	-0.04	0.4	0.12	0.11	-0.14	-0.15	-0.01	-0.18	-0.54	-0.56	-0.34	-0.18	-0.06	-0.34	-0.49	0.04	0.06	-0.4	-0.17	0.06	-0.12	-0.25	-0.04	-0.01	0.14	0.04	0.11	0.19	0.32	-0.49	-0.06	-0.12	-0.17	0.07	0.2	-0.22	0.32	-0.27	0.45	0.33	-0.17	0.04	-0.04	0.2	0.19	0.21	0.08	-0.45	-0.38	-0.69	-0.22
YBR080C	SEC18  SECRETION        NSF; VESICLE FUSION	-0.12	-0.54	0.07	-0.04	-0.07	-0.2	0.01	0.11		0.03	-0.09	0.08	-0.12	-0.2	-0.09	-0.09	-0.17	0.01	0.12	0.01	-0.14	-0.04	-0.15	-0.29	-0.03	0.16	0.1	0.19	-0.34	0.33	0.25	0.12	-0.14	0.18	0.1	0.03	-0.29	-0.17	-0.06	-0.15	0.42	-0.1	-2.47	-0.23	-0.12	-0.09	-0.1	-0.06	-0.09	-0.04	0.18	-0.14	-0.56	0.28	-0.04	-0.74	0.36	0.92	-0.07	0.24	0.01	-0.29	0.03	-0.69	-0.07	-0.34	0.34	0.15	-0.18	-0.14	-0.38	-0.18	0.19	0.11	-0.03	-0.09	-0.17	0.04	-0.56
YGL200C	EMP24  SECRETION        VESICLE COAT COMPONENT	-0.71	-0.23	-0.03	0.37	0.29	0.55	0.4	0.06	-0.12	0.04	-0.14	-0.06	0.29	0.06	0.15	-0.1	-0.12	-0.15	-0.32	-0.27	-0.01	0.33	0.2	0.43	0.59	0.69	0.16	0.38	0.54	0.31	0.1	0.25	-0.14	-0.2	0.23	0.36	-0.01	-0.43	-0.14	0.61	0.43	-0.09	-0.09	-0.56	-0.25	-0.23	-0.1	0.2	1.06	0.33	0.77		-0.23	0.62	0.19	-1.15	0.99	-0.32	0.16	0.01	-0.23	-0.34	0.01		0.79	0.16	0.77	0.83	0.08	0.33	-0.81	-0.69	0.12	0.15	0.7	0.16	0.2	0.3	-0.79
YKL073W	LHS1   SECRETION        CHAPERONE; ER PROTEIN TRANSLOCATION	0.11	-0.06	0.32	0.07	0.38	0.14	0.37	-0.23	-0.07	0.07	-0.07	0.16	-0.1	-0.03	-0.03	-0.03	0.1	-0.34	-0.71	-0.76	-0.62	-0.38	-0.32	0.16	0.06	0.26	-0.03	0.32	0.18	-0.25	-0.22	-0.22	-1.03	-1.25	-1.03	-1	-0.89	-0.92	-1	-0.89	-0.76	-0.69	-0.92	-0.86	-0.71	-1.03	-0.79	-0.43	-0.4	0.1	0.19	-0.25	-0.45	-0.29	-0.12	-0.79	0.15	0.24	-0.34	-0.38	-0.58	-0.4	0.01	-0.14	1.06	0.93	1.29	1.1	0.1	-0.6	-0.62	-0.47	-0.2	-0.29	-0.06	0.1	0.04	-0.81	-1.29
