	.Intergenic	+StartCodons	+StopCodons	+DSplice	+Intron	+ASplice	+Codons	-StartCodons	-StopCodons	-DSplice	-Intron	-ASplice	-Codons
.Intergenic	0.988191209	0.005904395526109567	0.0	0.0	0.0	0.0	0.0	0.0	0.005904395526109567	0.0	0.0	0.00	0.0
+StartCodons	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+StopCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Codons	0.0	0.0	0.0031746031746031746	0.0031746031746031746	0.0	0.0	0.993650794	0.0	0.0	0.0	0.0	0.0	0.0
+DSplice	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Intron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+ASplice	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
-StartCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-StopCodons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-DSplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-ASplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
-Intron	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
-Codons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.0	0.0	0.0	0.0031746031746031746	0.993650794
