	.Intergenic	+StartCodons	+StopCodons	+DSplice	+Intron	+ASplice	+Codons	-StartCodons	-StopCodons	-DSplice	-Intron	-ASplice	-Codons
.Intergenic	0.999315197	3.424017033765412E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.424017033765412E-4	0.0	0.0	0.00	0.0
+StartCodons	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+StopCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Codons	0.0	0.0	2.9171528588098014E-4	2.9171528588098014E-4	0.0	0.0	0.999416569	0.0	0.0	0.0	0.0	0.0	0.0
+DSplice	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Intron	0.0	0.0	0.0	0.0	0.99875	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+ASplice	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
-StartCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-StopCodons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-DSplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-ASplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
-Intron	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.00125	0.99875	0.0	0.0
-Codons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9171528588098014E-4	0.0	0.0	0.0	2.9171528588098014E-4	0.999416569
